legacy_table,legacy_database,legacy_schema,object_type,gcp_project,gcp_dataset,gcp_table,gcp_full_path,modernization_status,data_flipped,flip_date,owner_team,refresh_cadence,notes
CUSTOMER_ACCOUNT,EDW_TABLES,DBO,TABLE,vz-data-prod-workspace-7,edw_modernized,customer_account_master,vz-data-prod-workspace-7.edw_modernized.customer_account_master,Completed,Yes,2025-06-15,Marketing Analytics,Daily,Primary customer account table - fully modernized
WIRELESS_SUBSCRIBER,WIRELESS_DB,WIRELESS,TABLE,vz-data-prod-workspace-3,wireless_modernized,wireless_subscriber_detail,vz-data-prod-workspace-3.wireless_modernized.wireless_subscriber_detail,Completed,Yes,2025-04-20,Wireless Engineering,Daily,Subscriber details with plan info
BILLING_DETAIL,FINANCE_DB,FINANCE,TABLE,vz-data-prod-workspace-5,finance_raw,billing_detail_raw,vz-data-prod-workspace-5.finance_raw.billing_detail_raw,In Progress,No,,Finance Team,Daily,Modernization target Q2 2026
PRODUCT_INVENTORY,SUPPLY_DB,SUPPLY,TABLE,vz-data-prod-workspace-4,prod_modernized,inventory_master,vz-data-prod-workspace-4.prod_modernized.inventory_master,Completed,Yes,2025-08-01,Supply Chain,Daily,Full inventory tracking
NETWORK_EVENTS,NETWORK_DB,NETWORK,TABLE,vz-data-prod-workspace-6,network_raw,network_events_stream,vz-data-prod-workspace-6.network_raw.network_events_stream,In Progress,No,,Network Engineering,Streaming,High volume streaming data
ORDER_MANAGEMENT,SALES_DB,SALES,TABLE,vz-data-prod-workspace-7,sales_modernized,order_management_master,vz-data-prod-workspace-7.sales_modernized.order_management_master,Completed,Yes,2025-07-10,Sales Analytics,Daily,Order lifecycle management
DEVICE_CATALOG,DEVICE_DB,DEVICE,TABLE,vz-data-prod-workspace-3,wireless_modernized,device_catalog,vz-data-prod-workspace-3.wireless_modernized.device_catalog,Completed,Yes,2025-05-22,Device Team,Weekly,All device metadata
PLAN_FEATURES,WIRELESS_DB,WIRELESS,TABLE,vz-data-prod-workspace-3,wireless_modernized,plan_features_detail,vz-data-prod-workspace-3.wireless_modernized.plan_features_detail,Completed,Yes,2025-09-01,Product Team,Daily,Plan and feature details
MARKETING_CAMPAIGN,MKTG_DB,MARKETING,TABLE,vz-data-prod-workspace-7,marketing_modernized,campaign_performance,vz-data-prod-workspace-7.marketing_modernized.campaign_performance,Completed,Yes,2025-03-15,Marketing Analytics,Daily,Campaign metrics and ROI
DIM_CUSTOMER,ANALYTICS_DB,ANALYTICS,TABLE,vz-data-prod-workspace-7,edw_modernized,dim_customer,vz-data-prod-workspace-7.edw_modernized.dim_customer,Completed,Yes,2025-01-10,Data Engineering,Daily,Core customer dimension - used by 14 reports
FACT_SALES,ANALYTICS_DB,ANALYTICS,TABLE,vz-data-prod-workspace-7,edw_modernized,fact_sales,vz-data-prod-workspace-7.edw_modernized.fact_sales,Completed,Yes,2025-02-05,Data Engineering,Daily,Sales fact table
DIM_PRODUCT,ANALYTICS_DB,ANALYTICS,TABLE,vz-data-prod-workspace-7,edw_modernized,dim_product,vz-data-prod-workspace-7.edw_modernized.dim_product,Completed,Yes,2025-02-05,Data Engineering,Daily,Product dimension
DIM_DATE,ANALYTICS_DB,ANALYTICS,TABLE,vz-data-prod-workspace-7,edw_modernized,dim_date,vz-data-prod-workspace-7.edw_modernized.dim_date,Completed,Yes,2024-12-01,Data Engineering,Weekly,Date dimension - static
CUSTOMER_INTERACTION,CRM_DB,CRM,TABLE,vz-data-prod-workspace-7,crm_modernized,customer_interaction_history,vz-data-prod-workspace-7.crm_modernized.customer_interaction_history,Completed,Yes,2025-10-15,CRM Team,Daily,Customer touchpoints
PAYMENT_TRANSACTION,FINANCE_DB,FINANCE,TABLE,vz-data-prod-workspace-5,finance_modernized,payment_transaction_detail,vz-data-prod-workspace-5.finance_modernized.payment_transaction_detail,Completed,Yes,2025-11-01,Finance Team,Daily,Payment processing records
NETWORK_COVERAGE,NETWORK_DB,NETWORK,VIEW,vz-data-prod-workspace-6,network_modernized,network_coverage_map,vz-data-prod-workspace-6.network_modernized.network_coverage_map,Completed,Yes,2025-07-20,Network Engineering,Weekly,Coverage area mapping
SERVICE_TICKET,CRM_DB,CRM,TABLE,vz-data-prod-workspace-7,crm_modernized,service_ticket_master,vz-data-prod-workspace-7.crm_modernized.service_ticket_master,Completed,Yes,2025-08-15,CRM Team,Daily,Support ticket tracking
EMPLOYEE_DIRECTORY,HR_DB,HR,TABLE,vz-data-prod-workspace-8,hr_modernized,employee_directory,vz-data-prod-workspace-8.hr_modernized.employee_directory,Not Started,No,,HR Team,Weekly,Planned for Q3 2026
REVENUE_SUMMARY,FINANCE_DB,FINANCE,VIEW,vz-data-prod-workspace-5,finance_modernized,revenue_summary_daily,vz-data-prod-workspace-5.finance_modernized.revenue_summary_daily,Completed,Yes,2025-12-01,Finance Team,Daily,Aggregated revenue view
CHURN_PREDICTION,ANALYTICS_DB,ANALYTICS,TABLE,vz-data-prod-workspace-7,ml_models,churn_prediction_scores,vz-data-prod-workspace-7.ml_models.churn_prediction_scores,Completed,Yes,2025-09-20,Data Science,Daily,ML churn model output
